Combination_ID,Client_1,Client_2,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
1226,14,32,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz']",3207.0,7371.044397354126,52.79900938272476,0.6499999999999999,100.0
1227,14,33,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz']",3847.0,7689.131259918213,38.06463479995728,0.5,100.0
1228,14,34,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz']",6227.0,10046.051502227783,60.62250256538391,0.75,73.075425
1229,14,35,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz']",4477.0,8927.671670913696,47.76593804359436,0.6,100.0
1230,14,36,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz']",4277.0,9020.321369171144,47.5336155295372,0.6,83.490275
1231,14,37,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz']",3147.0,8061.856031417847,63.16845417022705,0.8,70.59355
1232,14,38,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz']",5987.0,10073.524236679075,43.849143385887146,0.55,68.977125
1233,14,39,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",3107.0,8073.856592178345,50.2728471159935,0.6499999999999999,78.47332499999997
1234,14,40,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",3567.0,8501.281261444092,54.63991850614548,0.7,100.0
1235,14,41,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",4317.0,8854.285717010498,39.49043482542038,0.5,38.16625
1236,14,42,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",3337.0,8008.613109588623,48.146487176418304,0.6,70.51232499999999
1237,14,43,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",6146.0,10083.335638046265,53.14477175474167,0.6499999999999999,100.0
1238,14,44,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",4494.0,8817.248821258545,54.34801936149597,0.7,100.0
1239,14,45,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",4917.0,9141.207218170166,39.05790477991104,0.5,82.7431
1240,14,46,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_16_local.npz']",6129.0,9869.580507278442,63.176070153713226,0.8,75.76724999999999
1241,14,47,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_17_local.npz']",4999.0,8402.350664138794,57.61732339859009,0.75,68.028075
1242,14,48,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_18_local.npz']",6011.0,9968.614101409912,42.892660200595856,0.55,63.38969999999999
1243,14,49,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_19_local.npz']",5747.0,9826.628923416138,47.39115238189697,0.6,74.80775
1244,14,50,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_20_local.npz']",3147.0,7890.666007995605,58.55734318494797,0.75,67.4032125
