,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
57,58,NonIID,1078,43,24.43,4.8719518184661865,4871.9518184661865,0.20525654547930755,4688.0888888888885,/content/drive/MyDrive/mlaas_weights_har/client_58.npz,247,137,372,74,248,"[7.2356216609478, 22.912801802158356, 24.42537397146225, 24.42537397146225, 22.912801802158356]",20.382394641637802,0.6
58,59,NonIID,1854,43,21.8,5.10527777671814,5105.27777671814,0.1958757277733939,4418.094240837696,/content/drive/MyDrive/mlaas_weights_har/client_59.npz,210,21,477,1110,36,"[60.355985164642334, 11.434735357761383, 11.326860636472702, 21.795257925987244, 11.326860636472702]",23.247939944267273,0.8
59,60,NonIID,1429,43,25.03,4.432088851928711,4432.088851928711,0.22562724561914643,4934.830409356725,/content/drive/MyDrive/mlaas_weights_har/client_60.npz,329,425,66,465,144,"[25.02562403678894, 25.02562403678894, 25.02562403678894, 23.02309274673462, 25.02562403678894]",24.625117778778076,0.2
60,61,NonIID,1964,43,25.03,5.058791399002075,5058.791399002075,0.19767567411403156,4662.187845303867,/content/drive/MyDrive/mlaas_weights_har/client_61.npz,81,663,490,504,226,"[25.02562403678894, 25.02562403678894, 4.124236106872559, 25.02562403678894, 4.124236106872559]",16.665068864822388,0.4
61,62,NonIID,1021,43,19.12,3.888335943222046,3888.335943222046,0.2571794244638636,4794.636363636364,/content/drive/MyDrive/mlaas_weights_har/client_62.npz,711,255,35,1,19,"[0.09794319048523903, 19.122937321662903, 69.6376085281372, 19.122937321662903, 19.122937321662903]",25.42087273672223,0.4
62,63,NonIID,1698,43,21.8,4.825016975402832,4825.016975402832,0.20725315684853354,4849.747126436781,/content/drive/MyDrive/mlaas_weights_har/client_63.npz,405,301,51,939,2,"[21.795257925987244, 23.851589858531952, 23.851589858531952, 21.795257925987244, 23.851589858531952]",23.02905708551407,0.6
63,64,NonIID,1652,43,9.65,4.9753098487854,4975.3098487854,0.2009925070785542,1485.661971830986,/content/drive/MyDrive/mlaas_weights_har/client_64.npz,133,27,165,334,993,"[20.21791785955429, 9.654252976179123, 8.050847798585892, 8.050847798585892, 9.654252976179123]",11.125623881816864,0.6
64,65,NonIID,1962,43,19.12,5.958011627197266,5958.011627197266,0.16784123002297904,4740.76404494382,/content/drive/MyDrive/mlaas_weights_har/client_65.npz,572,413,235,298,444,"[19.122937321662903, 29.204893112182617, 29.15392518043518, 19.122937321662903, 19.122937321662903]",23.1455260515213,0.4
65,66,NonIID,323,43,21.93,3.163071632385254,3163.071632385254,0.3161483887248882,4488.595744680851,/content/drive/MyDrive/mlaas_weights_har/client_66.npz,112,66,73,33,39,"[21.929912269115448, 34.67492163181305, 21.929912269115448, 34.67492163181305, 34.67492163181305]",29.57691788673401,0.6
66,67,NonIID,308,43,25.05,3.4265999794006348,3426.5999794006348,0.29183447324216566,4714.2793296089385,/content/drive/MyDrive/mlaas_weights_har/client_67.npz,14,73,51,44,126,"[25.050410628318787, 4.545454680919647, 4.545454680919647, 4.545454680919647, 4.545454680919647]",8.646445870399475,0.8
67,68,NonIID,1391,43,24.43,4.926559686660767,4926.559686660767,0.20298140357613373,4877.780346820809,/content/drive/MyDrive/mlaas_weights_har/client_68.npz,216,342,447,205,181,"[15.456506609916687, 15.744069218635559, 15.528397262096405, 15.528397262096405, 24.42537397146225]",17.33654886484146,0.8
68,69,NonIID,1012,43,9.63,4.346735239028931,4346.735239028931,0.23005772033711488,4906.139534883721,/content/drive/MyDrive/mlaas_weights_har/client_69.npz,5,28,15,45,919,"[4.446640238165855, 9.630805999040604, 9.630805999040604, 9.630805999040604, 9.630805999040604]",8.593972846865654,0.2
69,70,NonIID,531,43,19.16,3.4690520763397217,3469.0520763397217,0.2882631848683931,4688.0888888888885,/content/drive/MyDrive/mlaas_weights_har/client_70.npz,175,166,47,56,87,"[10.546139627695084, 32.95668661594391, 32.95668661594391, 19.159112870693207, 19.159112870693207]",22.955547720193863,0.6
70,71,NonIID,461,43,21.8,2.8240277767181396,2824.0277767181396,0.3541041657749275,4488.595744680851,/content/drive/MyDrive/mlaas_weights_har/client_71.npz,84,109,68,140,60,"[30.368763208389282, 21.80262804031372, 18.221257627010345, 18.221257627010345, 18.221257627010345]",21.367032825946808,0.8
71,72,NonIID,699,43,24.43,2.8819386959075928,2881.938695907593,0.346988643936118,3801.153153153153,/content/drive/MyDrive/mlaas_weights_har/client_72.npz,84,53,305,241,16,"[35.765379667282104, 12.01716735959053, 12.01716735959053, 12.01716735959053, 12.01716735959053]",16.766809821128845,1.0
72,73,NonIID,1099,43,21.8,6.937348127365112,6937.348127365112,0.14414729975210455,3196.4242424242425,/content/drive/MyDrive/mlaas_weights_har/client_73.npz,118,214,192,439,136,"[21.795928478240967, 21.795928478240967, 21.795928478240967, 21.795928478240967, 10.737033933401108]",19.584149569272995,0.2
73,74,NonIID,1208,43,25.07,4.970949411392212,4970.949411392212,0.201168814494117,2785.003300330033,/content/drive/MyDrive/mlaas_weights_har/client_74.npz,193,372,208,95,340,"[25.06648898124695, 16.142384707927704, 15.976820886135101, 15.976820886135101, 15.976820886135101]",17.82786726951599,0.8
74,75,NonIID,583,43,21.81,3.891383171081543,3891.383171081543,0.256978034810709,1917.8545454545454,/content/drive/MyDrive/mlaas_weights_har/client_75.npz,77,47,63,227,169,"[39.27958905696869, 13.20754736661911, 13.20754736661911, 13.20754736661911, 21.813346445560455]",20.143115520477295,0.8
75,76,NonIID,1556,43,25.04,5.125920534133911,5125.920534133911,0.19508691040778348,3668.939130434783,/content/drive/MyDrive/mlaas_weights_har/client_76.npz,242,430,132,441,311,"[25.04304349422455, 25.04304349422455, 25.04304349422455, 25.04304349422455, 15.552699565887451]",23.14497470855713,0.2
